id,loc,x,y,date,n_detections
A69-1602-9723,SB-6,-119.0457167,33.468,2019-08-28,7
A69-1602-9723,SB-6,-119.0457167,33.468,2019-09-13,7
A69-1602-9723,SB-7,-119.0418333,33.464,2019-07-06,7
A69-1602-9723,SB-8,-119.0348,33.461,2019-07-13,7
A69-1602-9723,SB-8,-119.0348,33.461,2019-08-02,7
A69-1602-9723,SB-9.5,-119.02422,33.4777,2019-07-13,7
A69-1602-9723,SB-9.5,-119.02422,33.4777,2019-10-11,7
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-03,6
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-21,6
A69-1602-9712,Mound Offshore,-119.0168,33.4876,2019-06-21,6
A69-1602-9712,Mound Offshore,-119.0168,33.4876,2019-07-11,6
A69-1602-9712,SB-1,-119.025,33.488,2019-06-18,6
A69-1602-9712,SB-1,-119.025,33.488,2019-07-04,6
A69-1602-9712,SB-1,-119.025,33.488,2019-08-11,6
A69-1602-9712,SB-10,-119.0228,33.484,2018-08-14,6
A69-1602-9712,SB-10,-119.0228,33.484,2019-07-30,6
A69-1602-9712,SB-6,-119.0457167,33.468,2019-06-14,6
A69-1602-9712,SB-7,-119.0418333,33.464,2018-10-03,6
A69-1602-9712,SB-7,-119.0418333,33.464,2019-04-28,6
A69-1602-9712,SB-7,-119.0418333,33.464,2019-07-31,6
A69-1602-9712,SB-9,-119.0260167,33.471,2018-08-14,6
A69-1602-9712,SB-9,-119.0260167,33.471,2019-08-03,6
A69-1602-9712,SB-9.5,-119.02422,33.4777,2019-06-13,6
A69-1602-9712,SB-9.5,-119.02422,33.4777,2019-06-26,6
A69-1602-9714,SB-7,-119.0418333,33.464,2018-08-30,6
A69-1602-9714,SB-7,-119.0418333,33.464,2018-09-24,6
A69-1602-9716,Mound Inshore,-119.0193,33.4879,2019-08-01,6
A69-1602-9716,Mound Inshore,-119.0193,33.4879,2019-08-18,6
A69-1602-9716,SB-1,-119.025,33.488,2019-09-12,6
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-01,6
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-05,6
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-11,6
A69-1602-9716,SB-6,-119.0457167,33.468,2019-08-13,6
A69-1602-9716,SB-6,-119.0457167,33.468,2019-09-30,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-21,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-24,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-08-28,6
A69-1602-9716,SB-7,-119.0418333,33.464,2018-09-01,6
